26/10/2018,Colectivo,PLAYON PUERTO LOCAL
26/10/2018,Colectivo,PLAYON PUERTO LOCAL
27/10/2018,Colectivo,J VERA 1000
27/10/2018,Colectivo,PLAYON PUERTO
27/10/2018,Colectivo,PLAYON DEL PUERTO
27/10/2018,Colectivo,PLAYON PUERTO
28/10/2018,Colectivo,SAN MARTIN AL 300
30/10/2018,Particular,9 de julio al 1000
26/10/2018,Particular,SAN MARTIN 1891
1/11/2018,Colectivo,PLAYON DEL PUERTO
1/11/2018,Colectivo,PLAYON PUERTO
2/11/2018,Colectivo,PUERTO LOCAL
2/11/2018,Colectivo,AV. GARAY 2900
4/11/2018,Remisses,CÓRDOBA AL 1500
6/11/2018,Particular,25 DE MAYO 1314
7/11/2018,Particular,SAN MARTIN 1855
10/11/2018,Remisses,SAN JUAN 885
12/11/2018,Particular,9 DE JULIO 800
12/11/2018,Particular,QUINTANA 1100
13/11/2018,Particular,TUCUMAN 1318
14/11/2018,Particular,PELLEGRINI 1625
14/11/2018,Colectivo,Salta 1200
14/11/2018,Colectivo,Salta 1200
14/11/2018,Colectivo,Salta 1200
15/11/2018,Particular,AV. COSTANERA GRAL SAN MARTIN 500
14/11/2018,Colectivo,Salta 1200
14/11/2018,Colectivo,sALTA 1200
14/11/2018,Colectivo,sALTA 1200
14/11/2018,Colectivo,Salta 1200
20/11/2018,Particular,RIVADAVIA 709
21/11/2018,Remisses,SAN LORENZO 800
24/11/2018,Transportes de Cargas,PELLEGRINI AL 400
25/11/2018,Remisses,jj de vera 1500
25/11/2018,Particular,SAN MARTIN AL 900
28/11/2018,Particular,GUEMEZ 1000
28/11/2018,Remisses,SAN LORENZO AL 900
28/11/2018,Particular,QUINTANA 1100
28/11/2018,Transportes de Cargas,CHACABUCO AL 1000
29/11/2018,Particular,AGUSTIN GONZALEZ AL 1000
6/12/2018,Remisses,NICARAGUA 3100
6/12/2018,Remisses,NICARAGUA 3100
10/12/2018,Minibus,Mendoza 1000
10/12/2018,Particular,Tucuman 1310
